# timestamp[secs] tx ty tz qx qy qz qw
0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0
2.0171900000423202e-07 0.004503936 -0.001206623 0.97569049 0.000372756 0.00012853 -0.000259091 0.999999889
4.0343900000152597e-07 0.01131118 -0.012836439 2.011657318 0.000601149 0.000554007 -0.00021507 0.999999643
6.051589999988209e-07 0.015038367 -0.016669351 3.12348969 0.001207435 0.000853818 -0.000219943 0.999998882
8.06879000003391e-07 0.020670961 -0.02022591 4.285953492 0.002127514 0.001038221 -0.000483299 0.999997081
1.0085990000006898e-06 0.029216575 -0.028253696 5.457188662 0.000253873 0.001263774 -0.00061696 0.999998979
1.2103190000052598e-06 0.025506143 -0.027815959 6.660556074 -0.000578881 0.00124289 -0.000442108 0.999998962
1.4120380000022099e-06 0.036697472 -0.0243391 7.918314798 0.001670859 0.001173704 -0.00115147 0.999997252
1.6137589999998501e-06 0.039759458 -0.038956076 9.16513804 0.002426992 0.001184768 -0.0009543 0.999995898
1.8154790000044201e-06 0.047160196 -0.043368468 10.437668873 0.002343166 0.00120254 -0.002309308 0.999993865
2.01719900000171e-06 0.054285035 -0.051511053 11.752208592 0.002186768 0.001535933 -0.004546242 0.999986095
2.218918999999e-06 0.06255032 -0.064202536 13.070985956 0.001248068 0.001223769 -0.004527041 0.999988225
2.4206390000035797e-06 0.067162035 -0.062679614 14.374389144 0.000588105 0.000527426 -0.004298551 0.999990449
2.62235900000087e-06 0.074381463 -0.058503332 15.679011653 0.001822011 -0.002054275 -0.003665881 0.999989511
2.8240780000051e-06 0.051970454 -0.061467836 16.967847699 0.003129944 -0.004971719 -0.001986384 0.99998077
3.0257980000024e-06 0.02888607 -0.055217864 18.228270658 0.002385709 -0.008541012 -0.001593971 0.999959409
3.22751799999969e-06 -0.00797955 -0.055120313 19.476815695 0.002902212 -0.011766595 -0.001144455 0.999925905
3.42923800000426e-06 -0.049094132 -0.055601765 20.707517964 0.002546376 -0.014317392 -0.000305697 0.999894211
3.6309580000015604e-06 -0.08394204 -0.054411736 21.92049734 0.002589122 -0.016476735 0.000769681 0.9998606
3.83267799999885e-06 -0.143840611 -0.054240317 23.106712445 0.002696141 -0.018192307 0.001275392 0.999830058
